text,vague_label
бивис громковато как то,DELTA_MINUS_10
слушай открой браузер плиз,UNKNOWN
короче заткни пожалуйста,SET_0
слегка громче сйчас,DELTA_PLUS_5
ну отткрой браузер,UNKNOWN
пожалуйста уши реежет,DELTA_MINUS_25
пожалуйста запусти блокнот,UNKNOWN
ну сделай тише сейчас,DELTA_MINUS_10
слушай погроммче,DELTA_PLUS_10
чуть тише быстро,DELTA_MINUS_5
брух очень громко брат,DELTA_MINUS_25
короче тихо слышно брат,DELTA_PLUS_15
сделай чуть громче,DELTA_PLUS_5
бивис закрой окно быстро,UNKNOWN
пожалуйста открой бруазер,UNKNOWN
бивис мьют быстро,SET_0
почти не слышу пожалуйста,DELTA_PLUS_25
сделай погромче нормально быстро,SET_70
ну совсем не слышно быстро,DELTA_PLUS_25
бивис сделай еле слышно сейчас,SET_10
брух оыбчный звук,SET_60
слушай комфортно,SET_60
эй бивис немного громче быстро,DELTA_PLUS_5
бивис на ноль,SET_0
ну очень тихо слышно брат,DELTA_PLUS_15
сделай еле слышно быстро,SET_10
оббычный уровень,SET_60
короче очень тихо пожалуйста,DELTA_PLUS_25
пожалуйста очень тихо слышно сейчас,DELTA_PLUS_15
брух громковато,DELTA_MINUS_10
слушай очень громко быстро,DELTA_MINUS_25
ну почти оглох брат,DELTA_MINUS_25
слушай убери звук бысрто,SET_0
слушай чуть прибавь пожалуйста,DELTA_PLUS_5
слушшай чуть чуть потише,DELTA_MINUS_5
поалуйста бивис чуть чуть громче,DELTA_PLUS_5
слушай чуть тише сеййчас,DELTA_MINUS_5
эй бивис громче сейчас,DELTA_PLUS_10
пожалуйста сдделай очень тихо быстро,SET_10
кооче какая погода,UNKNOWN
бивис закрой окно брат,UNKNOWN
пожалуйста приглуши сейчас,SET_20
брух без звкуа,SET_0
ну нади файл быстро,UNKNOWN
брух почти оглох сейчас,DELTA_MINUS_25
брух сдлай еле слышно быстро,SET_10
ну орет сейчас,DELTA_MINUS_25
слушай фигово слышно сейчас,DELTA_PLUS_15
сделай скриншот быстро,UNKNOWN
пожалуйста на полную плиз,SET_100
пожалуйста сделай тише пожалуйста,DELTA_MINUS_10
брух чуть громче брат,DELTA_PLUS_5
эй биис какая погода брат,UNKNOWN
эй бивис громко быстро,DELTA_MINUS_10
брух громко слишком пожалуйста,DELTA_MINUS_15
ну на середину быстро,SET_50
пожалуйста сделай звук еле еле пожалуйста,SET_10
пожалуйста динамики рвутся,DELTA_MINUS_25
немного тише пожалйуста,DELTA_MINUS_5
бивис какая погода,UNKNOWN
брух сделай еле слышно брат,SET_10
брух сделай скриншот,UNKNOWN
эй бивис комфортно,SET_60
эй бивис приглуши звук быстро,SET_20
бивис немного тише,DELTA_MINUS_5
корочче громко но не максимум плиз,SET_80
эй бивис в ноль сейччас,SET_0
ну какая погода брат,UNKNOWN
пожалуйста выключи звук пожалуйста,SET_0
слушай уши режет пожалуйста,DELTA_MINUS_25
бивис чуть прибавь брат,DELTA_PLUS_5
ну отключи звук,SET_0
короче поставь таймер сейчас,UNKNOWN
короче уши режет быстро,DELTA_MINUS_25
эй бивис без звука,SET_0
пожалуйста закрой окно сейчас,UNKNOWN
ну динамики рвуться сейчас,DELTA_MINUS_25
брух открой ютуб быстро,UNKNOWN
бивис сделай тише сейчас,DELTA_MINUS_10
короче сделай звук обычным,SET_60
эй бивис добавь громкости пожалуйста,DELTA_PLUS_10
слушай почти не слышу,DELTA_PLUS_25
эй бивис открой ютуб брат,UNKNOWN
ну убавь брат,DELTA_MINUS_10
ну бивис чуть чуть громче,DELTA_PLUS_5
бивис сделай очень тихо сейчас,SET_10
короче громко слишком брат,DELTA_MINUS_15
эй бивис комфортно пожалуйста,SET_60
короче добавь громкости,DELTA_PLUS_10
эй бивис почти не слышу плиз,DELTA_PLUS_25
бивис нормально сейчас,SET_50
брух откорй браузер плиз,UNKNOWN
бивис бивис чуть чуть громче сейчас,DELTA_PLUS_5
эй бивис бивис чуть чуть громче,DELTA_PLUS_5
ну убери звук брат,SET_0
бивис поччти оглох пожалуйста,DELTA_MINUS_25
брух заткни пожалуйста,SET_0
громко но не максимум пожалуйста,SET_80
ну расскажи анекдот,UNKNOWN
бивис открой браузер брат,UNKNOWN
брух почти максимум брат,SET_90
пожалуйста открой браузер брат,UNKNOWN
звук режет уши плиз,DELTA_MINUS_25
громко слишком плиз,DELTA_MINUS_15
слушшай открой ютуб брат,UNKNOWN
ну фигово слышно,DELTA_PLUS_15
бивис плохо слышно пожалуйста,DELTA_PLUS_15
эй бвиис чуть тише плиз,DELTA_MINUS_5
корче уши режет плиз,DELTA_MINUS_25
ну слегка тише пожалуйста,DELTA_MINUS_5
бивис тише,DELTA_MINUS_10
эй бивис орёт плиз,DELTA_MINUS_25
слшуай на середину брат,SET_50
короче что по времени брат,UNKNOWN
брух сделай ноль,SET_0
ну звук режет уши плиз,DELTA_MINUS_25
слушай звук еле слышно плиз,DELTA_PLUS_15
бивис плохо слышнно быстро,DELTA_PLUS_15
слушай закнись плиз,SET_0
слуушай мне не слышно брат,DELTA_PLUS_25
слушай на полную сейчас,SET_100
эй биивис немного тише плиз,DELTA_MINUS_5
ну сделай погромче нормально брат,SET_70
биивс орёт сейчас,DELTA_MINUS_25
пожалуйста сделай громче плиз,DELTA_PLUS_10
бивис добавь громкости,DELTA_PLUS_10
пожлауйста прибавь плиз,DELTA_PLUS_10
пожалуйста средне плиз,SET_50
пожалуйста ничего не слышно брат,DELTA_PLUS_25
ненмого громче пожалуйста,DELTA_PLUS_5
брух закррой окно,UNKNOWN
ну бивис чуть чуть потише быстро,DELTA_MINUS_5
бвис почти оглох брат,DELTA_MINUS_25
пожалуйста почти оглох плиз,DELTA_MINUS_25
ну переключи песю сейчас,UNKNOWN
слушай звук режет уши бысро,DELTA_MINUS_25
брух поставь таймер пожалуйста,UNKNOWN
ну запусти блоккнот сейчас,UNKNOWN
слушай сдлеай чуть громче быстро,DELTA_PLUS_5
надйи файл брат,UNKNOWN
эй бивис закрой окно быстро,UNKNOWN
сделай приглушенно плиз,SET_20
ну пставь таймер пожалуйста,UNKNOWN
почти оглох плиз,DELTA_MINUS_25
крооче сделай звук обычным сейчас,SET_60
короче каакая погода пожалуйста,UNKNOWN
бивис почти не слышу быстро,DELTA_PLUS_25
ну почти на максимум брат,SET_90
пожауйста чуть громче плиз,DELTA_PLUS_5
мьют быстро,SET_0
слушай тихо слышно пожалуйста,DELTA_PLUS_15
слушай чуть громче плиз,DELTA_PLUS_5
ну на плную плиз,SET_100
слушай сделай чуть громче,DELTA_PLUS_5
эй биввис еле слышно быстро,DELTA_PLUS_15
громко слишком брат,DELTA_MINUS_15
пожалуйста зактни быстро,SET_0
брух средне брат,SET_50
короче какая погода сейчас,UNKNOWN
пжоалуйста слегка громче сейчас,DELTA_PLUS_5
бивис сделай громче пожалуйста,DELTA_PLUS_10
пожалуйста замолчи,SET_0
слушай бивис чуть чуть потише,DELTA_MINUS_5
рассскажи анекдот плиз,UNKNOWN
пжалуйста тише плиз,DELTA_MINUS_10
откроой браузер,UNKNOWN
пожалуйста очень тихо слышно брат,DELTA_PLUS_15
брух приглуши сейчас,SET_20
пожалуйста без звука плиз,SET_0
пожалууйста а ну тихо,DELTA_MINUS_10
брух слышно фиговво сейчас,DELTA_PLUS_15
ну фигово слышно быстро,DELTA_PLUS_15
эй бивис плохо слышно,DELTA_PLUS_15
почти не слышу плиз,DELTA_PLUS_25
прриглуши звук брат,SET_20
короче открой ютуб быстро,UNKNOWN
эй бивис бивис чуть чуть потише брат,DELTA_MINUS_5
пожалуйста почти максимум,SET_90
ну громмко слишком,DELTA_MINUS_15
ну немнного громче сейчас,DELTA_PLUS_5
брух средне сейчас,SET_50
а ну тихо плиз,DELTA_MINUS_10
бивис открой браузер,UNKNOWN
брух очень тихо пожалуйста,DELTA_PLUS_25
эй бивис какая погода,UNKNOWN
короче заткнись пожалуйста,SET_0
ну сделай очень тихо сейчас,SET_10
брух мне не слышно плиз,DELTA_PLUS_25
пожалуйста закррой окно плиз,UNKNOWN
бивис почти максимум сейчас,SET_90
бивис прибавь сейчас,DELTA_PLUS_10
ну запусти блокнот сейчас,UNKNOWN
брух чуть прибавь,DELTA_PLUS_5
слека громче сейчас,DELTA_PLUS_5
короче заглуши звук быстро,SET_0
короче сделай очень тихо пожалуйста,SET_10
эй бивис открой ютуб,UNKNOWN
эй бивис бивис чуть чуть грмоче,DELTA_PLUS_5
эй биивс переключи песню пожалуйста,UNKNOWN
короче громковато быстро,DELTA_MINUS_10
бивис открой брааузер,UNKNOWN
немного громче быстро,DELTA_PLUS_5
орет брат,DELTA_MINUS_25
короче открой браузер сейчас,UNKNOWN
брух громмковато быстро,DELTA_MINUS_10
пожалуйста динамики рвутся плиз,DELTA_MINUS_25
пожалуйста сделай скриншот пожалуйста,UNKNOWN
слушай выключи звук быстро,SET_0
переключи песню брат,UNKNOWN
слушай кофмортно плиз,SET_60
слушай сделай звук обычным сейчас,SET_60
бивис отключи звук пожалуйста,SET_0
ну что по времени,UNKNOWN
эй бивис сделай чуть громче,DELTA_PLUS_5
пожалуйста расскажи анекдот сейчас,UNKNOWN
ну почти не слышу быстро,DELTA_PLUS_25
пожалуйста очень громко пожалуйста,DELTA_MINUS_25
короче чуть чуть потише сейчас,DELTA_MINUS_5
пригллуши звук сейчас,SET_20
бивис плохо слышно плиз,DELTA_PLUS_15
слушай слишком громко бытсро,DELTA_MINUS_15
бвис заткнись,SET_0
бвиис добавь громкости,DELTA_PLUS_10
брух посттавь на ноль плиз,SET_0
бивис сделай почти без звука пожалуйста,SET_10
эй бивис сделай громче сейчас,DELTA_PLUS_10
брух какая погода сейчас,UNKNOWN
пожалуйта громко,DELTA_MINUS_10
пожалуйста слишком громко брат,DELTA_MINUS_15
бивис звук реежт уши,DELTA_MINUS_25
эй бивис почти максимум плиз,SET_90
бивис переключи пенсю плиз,UNKNOWN
ну заткнись,SET_0
ну чуть тише пожлуйста,DELTA_MINUS_5
ну бивис чуть чуть потише пожалуйста,DELTA_MINUS_5
брух нормально быстро,SET_50
выключи звук сейчас,SET_0
короче поочти не слышу,DELTA_PLUS_25
короче почти максимум быстро,SET_90
добавь громкости сечйас,DELTA_PLUS_10
пожалуйста заткни сейчас,SET_0
короче обычный уровень,SET_60
бивис заглуши звук,SET_0
эй бивис чуть убавь плиз,DELTA_MINUS_5
слушай заткни плиз,SET_0
приббавь пожалуйста,DELTA_PLUS_10
ну слышно фигово пожалуйста,DELTA_PLUS_15
коороче отключи звук плиз,SET_0
ну сделай приглушенно быстро,SET_20
короче убавь плиз,DELTA_MINUS_10
брух громко слишком сейчас,DELTA_MINUS_15
брух закттни плиз,SET_0
брух немного тише быстро,DELTA_MINUS_5
мне не слышно,DELTA_PLUS_25
ну откллючи звук пожалуйста,SET_0
заткнись быстро,SET_0
ну заткни брат,SET_0
эй бивис оббычный звук плиз,SET_60
бивис переключи пеню брат,UNKNOWN
слушай переключи песню пожалуйста,UNKNOWN
брух сделай еле слыншо сейчас,SET_10
слушай плохо слышно быстро,DELTA_PLUS_15
пожалууйста тише,DELTA_MINUS_10
короче громко но не максимум пожалуйста,SET_80
прибавь,DELTA_PLUS_10
ну нормально бысто,SET_50
пожалйуста сделай почти без звука,SET_10
короче выключи звук брат,SET_0
брух сделай звук еле еле плиз,SET_10
короче слегка громче быстро,DELTA_PLUS_5
пожалуйста отключи звук,SET_0
брух что по времени брат,UNKNOWN
ну откррой браузер брат,UNKNOWN
нормалльно,SET_50
бивис поставь на ноль быстро,SET_0
прибавь пожалуйста,DELTA_PLUS_10
пожалуйста громче брат,DELTA_PLUS_10
переключи песню быстро,UNKNOWN
ну очень громко брат,DELTA_MINUS_25
брух на ноль плиз,SET_0
брух в ноль,SET_0
сушай динамики рвутся,DELTA_MINUS_25
эй бивис поставь еле слышно быстро,SET_10
брух обычный уровень пожалуйста,SET_60
на середину быстро,SET_50
пожалуйста на ноль сейчас,SET_0
брух зактни сечйас,SET_0
пожалуйста биис чуть чуть громче быстро,DELTA_PLUS_5
выключи звук пожалуйста,SET_0
брух закрой окно,UNKNOWN
бивис вылкючи звук плиз,SET_0
пожалуйста фигово слышно пожалуйста,DELTA_PLUS_15
эй бивис заглуши звук брат,SET_0
эй бивис переключи песню быстро,UNKNOWN
короче оччень громко пожалуйста,DELTA_MINUS_25
слушай еле слыно пожалуйста,DELTA_PLUS_15
эй бивис ничего не слышно быстро,DELTA_PLUS_25
эй бивис чуть чуть потише сечас,DELTA_MINUS_5
короче на ноль сейчас,SET_0
бивис почти не слышу пожалуйста,DELTA_PLUS_25
слушай прилуши звук,SET_20
брух в ноль бысто,SET_0
бивис фигово слышно пожалуйста,DELTA_PLUS_15
короче потише,DELTA_MINUS_10
короче фигово слышно пожалуйста,DELTA_PLUS_15
чуть чуть громче быстро,DELTA_PLUS_5
пожалуйста заткнись брат,SET_0
эй бивис на середину брат,SET_50
слушай запусти блокнот пожалуйста,UNKNOWN
эй бивис чуть чуть гормче,DELTA_PLUS_5
эй бивис чуть тише быстро,DELTA_MINUS_5
ну прибавь брат,DELTA_PLUS_10
короче чуть убаь плиз,DELTA_MINUS_5
короче без звкуа быстро,SET_0
поставь таймр,UNKNOWN
поставь таймер брат,UNKNOWN
короче поставь еле слышно пожалуйста,SET_10
слушай выруби звук быстро,SET_0
эй бивис звук режет уши,DELTA_MINUS_25
короче сделай погромче нормлаьно быстро,SET_70
пожалуйста на середину сейчас,SET_50
бивис открой браузер быстро,UNKNOWN
бивис почти не слышу плиз,DELTA_PLUS_25
слушай чуть чуть потише пожлауйста,DELTA_MINUS_5
фигово слышно сейчас,DELTA_PLUS_15
слушй немного тише,DELTA_MINUS_5
поставь таймер,UNKNOWN
пожалуйста громче сейчас,DELTA_PLUS_10
брух сделай погромче нормально быстро,SET_70
бивс зактни брат,SET_0
бивис на максимум сейчас,SET_100
бивис чуть чуть потише пожалуйста,DELTA_MINUS_5
ну без звука брат,SET_0
пожалуйста выключи звук брат,SET_0
брух почти оглох пожалуйста,DELTA_MINUS_25
эй бивис потише быстро,DELTA_MINUS_10
пожалуйста сделай скриншт сейчас,UNKNOWN
ну немного громче,DELTA_PLUS_5
бивис обычный звук,SET_60
короче запусти блоккнот пожалуйста,UNKNOWN
крооче выруби звук плиз,SET_0
слушай запусти блокнот брат,UNKNOWN
слушай замоллчи,SET_0
ну еле слышно пожалуйста,DELTA_PLUS_15
громче быстро,DELTA_PLUS_10
очень тихо пожалуйста,DELTA_PLUS_25
слушай заглуши звук,SET_0
короче тихо слышно плиз,DELTA_PLUS_15
короче найди файл плиз,UNKNOWN
динамики рвуться быстро,DELTA_MINUS_25
ну найди файл сейчас,UNKNOWN
короче переключи песню,UNKNOWN
ничего не слышно сейчас,DELTA_PLUS_25
короче почти на максимум,SET_90
короче ничего не слышно сейчас,DELTA_PLUS_25
эй бивис на середину быстро,SET_50
пожалуйста бивис чуть чуть громче пожалуйста,DELTA_PLUS_5
эй бивис слегка громче бстро,DELTA_PLUS_5
слегка тише пожалуйста,DELTA_MINUS_5
ну а ну тихо брат,DELTA_MINUS_10
бивис замолчи быстро,SET_0
сделай тише плиз,DELTA_MINUS_10
на полную,SET_100
немного тише,DELTA_MINUS_5
слушай без звука плиз,SET_0
бивис почти на максимум пожалуйста,SET_90
биис поставь на ноль брат,SET_0
ну на середину,SET_50
перелючи песню,UNKNOWN
брух орёт бысстро,DELTA_MINUS_25
эй бивис приглуши сейчас,SET_20
ну сделай звук оббычным плиз,SET_60
короче нормально быстро,SET_50
бивиис слегка громче,DELTA_PLUS_5
эй бивис убери звук быстро,SET_0
