text,app_id
bevais обноови драйвер,unknown
bevais окрой дверцу,unknown
bevais осданови музыку на компе,unknown
bevais открой проеккт,unknown
bevais перезагрузи пк щас,unknown
bevais подключи vpn брх,unknown
bevais покажи рабочий сотл мне надо,unknown
bevais поработать надо в telegram,telegram
bevais поставь будильник,unknown
bevais поставь будиьник,unknown
bevais поставь таймер,unknown
bevais поставь таймер,unknown
bevais поставь яркоть 50,unknown
bevais почисти корзиу,unknown
bevais просто открй что-нибудь щас,unknown
bevais сделай громкость 20,unknown
bevais сделай потишше если можешь,unknown
bevais сколько времени щас,unknown
bevais убавь звук мне надо,unknown
bevais увеилчь масштаб мне надо,unknown
bevis блендер открой мне надо,blender_5_0
bevis закинь меня в blender-launcher мне надо,blender_5_0
bevis какаая погода,unknown
bevis какая погода,unknown
bevis найди и открой ворд бруух,word
bevis открай редактор мне надо,unknown
bevis откроеем музыка на компе,yandeks_muzyka
bevis открой дверцу,unknown
bevis открой мне wrd,word
bevis открой окно,unknown
bevis перейди в дис на компе,discord
bevis поставь будильник,unknown
bevis поставь таймр на компе,unknown
bevis почисти карзину,unknown
bevis просто откроой что-нибудь щас,unknown
bevis следуюищй трек,unknown
bevis следующий трик если можешь,unknown
bevis срочно открой com squirrel discord если можешь,discord
bevis убавь звк,unknown
bevis убей процесс,unknown
bevis убий процесс на компе,unknown
bevis удлаи файл на компе,unknown
bevis удоли файл мне надо,unknown
bevis что по ноовстям,unknown
biavis discord открой,discord
biavis выключи компьютер ели можешь,unknown
biavis закрой программу щас,unknown
biavis заппусти игру,unknown
biavis запусти игру пожауйста,unknown
biavis запусти мне кодкес,codex
biavis заткнись если можешь,unknown
biavis наайди файл мне надо,unknown
biavis напомни мне завтра,unknown
biavis оббнови драйвер щас,unknown
biavis обноови драйвер,unknown
biavis останови музыку,unknown
biavis открй окно щас,unknown
biavis открой codex на компе,codex
biavis открой всскод,visual_studio_code
biavis открой редактор,unknown
biavis пеерключи музыку,unknown
biavis переейди в codex,codex
biavis перезагруззи пк,unknown
biavis перезагрузи пк бурх,unknown
biavis подключи vpn,unknown
biavis позвони маме,unknown
biavis позвони маме мне надо,unknown
biavis сделаай громкость 20,unknown
biavis сделай потише,unknown
biavis сделай потише на компе,unknown
biavis сделай потише щас,unknown
biavis сдлеай громче если можешь,unknown
biavis сколько времени бысттро,unknown
biavis создай папку щас,unknown
biavis стртани telegram,telegram
blaknot ели можешь,bloknot
bleder 5 0 запусти,blender_5_0
blende-rlauncher запусит,blender_5_0
blender 5 0,blender_5_0
blender 5 0,blender_5_0
blender 5 0,blender_5_0
blender 5 0,blender_5_0
blender 5 0,blender_5_0
blender 5 0 включи,blender_5_0
blender 5 0 включи,blender_5_0
blender 5 0 включи,blender_5_0
blender 5 0 включи если можешь,blender_5_0
blender 5 0 включи если можешь,blender_5_0
blender 5 0 включи мне надо,blender_5_0
blender 5 0 включи на компе,blender_5_0
blender 5 0 включи щас,blender_5_0
blender 5 0 включи щас,blender_5_0
blender 5 0 включи щас,blender_5_0
blender 5 0 если можешь,blender_5_0
blender 5 0 если можешь,blender_5_0
blender 5 0 запусти,blender_5_0
blender 5 0 запусти,blender_5_0
blender 5 0 запусти,blender_5_0
blender 5 0 запусти,blender_5_0
blender 5 0 запусти,blender_5_0
blender 5 0 запусти,blender_5_0
blender 5 0 запусти на компе,blender_5_0
blender 5 0 запусти на компе,blender_5_0
blender 5 0 запусти щас,blender_5_0
blender 5 0 мне надо,blender_5_0
blender 5 0 на компе,blender_5_0
blender 5 0 на компе,blender_5_0
blender 5 0 открй мне надо,blender_5_0
blender 5 0 открой,blender_5_0
blender 5 0 открой,blender_5_0
blender 5 0 открой,blender_5_0
blender 5 0 открой,blender_5_0
blender 5 0 открой,blender_5_0
blender 5 0 открой,blender_5_0
blender 5 0 открой,blender_5_0
blender 5 0 открой,blender_5_0
blender 5 0 открой если можешь,blender_5_0
blender 5 0 открой если можешь,blender_5_0
blender 5 0 открой если можешь,blender_5_0
blender 5 0 открой если можешь,blender_5_0
blender 5 0 открой мне надо,blender_5_0
blender 5 0 открой мне надо,blender_5_0
blender 5 0 открой на компе,blender_5_0
blender 5 0 открой щас,blender_5_0
blender вклюи,blender_5_0
blender включи,blender_5_0
blender запусти,blender_5_0
blender запусти,blender_5_0
blender запусти,blender_5_0
blender запусти,blender_5_0
blender запусти мне надо,blender_5_0
blender запусти щас,blender_5_0
blender открой,blender_5_0
blender открой,blender_5_0
blender открой,blender_5_0
blender открой,blender_5_0
blender открой,blender_5_0
blender открой мне надо,blender_5_0
blender щас,blender_5_0
blender-launcher,blender_5_0
blender-launcher включи,blender_5_0
blender-launcher включи,blender_5_0
blender-launcher включи,blender_5_0
blender-launcher включи щас,blender_5_0
blender-launcher запусти,blender_5_0
blender-launcher запусти,blender_5_0
blender-launcher запусти на компе,blender_5_0
blender-launcher мне надо,blender_5_0
blender-launcher открой,blender_5_0
blender-launcher открой,blender_5_0
blender-launcher открой,blender_5_0
blender-launcher открой на компе,blender_5_0
blender-launcher открой на компе,blender_5_0
blender-launcher открой щас,blender_5_0
blender-launcher пожолуйста,blender_5_0
blender-launcher щас,blender_5_0
blender-louncher открой на компе,blender_5_0
blendre 5 0,blender_5_0
blneder,blender_5_0
bloknoot октрой,bloknot
bloknot,bloknot
bloknot,bloknot
bloknot,bloknot
bloknot вклюи бызтро,bloknot
bloknot включи,bloknot
bloknot включи,bloknot
bloknot включи,bloknot
bloknot включи,bloknot
bloknot включи,bloknot
bloknot включи,bloknot
bloknot включи щас,bloknot
bloknot запусти,bloknot
bloknot запусти,bloknot
bloknot запусти,bloknot
bloknot запусти,bloknot
bloknot запусти,bloknot
bloknot запусти,bloknot
bloknot запусти мне надо,bloknot
bloknot мне надо,bloknot
bloknot откорй,bloknot
bloknot открой,bloknot
bloknot открой,bloknot
bloknot открой,bloknot
bloknot открой,bloknot
bloknot открой,bloknot
bloknot открой,bloknot
bloknot открой,bloknot
bloknot открой если можешь,bloknot
bloknot открой если можешь,bloknot
bloknot открой если можешь,bloknot
bloknot открой мне надо,bloknot
bloknot открой на компе,bloknot
bloknot открой щас,bloknot
bloknot открой щас,bloknot
bloknot открой щас,bloknot
bloknot отркой,bloknot
blonkot включи на компе,bloknot
cadex открйо щас,codex
cdex запузти,codex
cdex открой,codex
chrome,google_chrome
chrome,google_chrome
chrome включи,google_chrome
chrome включи,google_chrome
chrome включи если можешь,google_chrome
chrome включи мне надо,google_chrome
chrome включи мне надо,google_chrome
chrome включи на компе,google_chrome
chrome если можешь,google_chrome
chrome если можешь,google_chrome
chrome закрой,unknown
chrome запусти,google_chrome
chrome запусти,google_chrome
chrome запусти щас,google_chrome
chrome запусти щас,google_chrome
chrome на компе,google_chrome
chrome одкрой,google_chrome
chrome открой,google_chrome
chrome открой,google_chrome
chrome открой,google_chrome
chrome открой,google_chrome
chrome открой,google_chrome
chrome открой,google_chrome
chrome открой,google_chrome
chrome открой мне надо,google_chrome
chrome открой мне надо,google_chrome
chrome открой на компе,google_chrome
chrome открой на компе,google_chrome
cm squirrel discord открой еси можешь,discord
co msquirrel discord включи щас,discord
coddex открой,codex
codeex открой,codex
codex,codex
codex,codex
codex,codex
codex,codex
codex,codex
codex включи,codex
codex включи,codex
codex включи,codex
codex включи,codex
codex включи,codex
codex включи мне надо,codex
codex включи щас,codex
codex если можешь,codex
codex запусти,codex
codex запусти,codex
codex запусти,codex
codex запусти,codex
codex запусти,codex
codex запусти,codex
codex запусти если можешь,codex
codex запусти щас,codex
codex запусти щас,codex
codex мне надо,codex
codex открйо,codex
codex открой,codex
codex открой,codex
codex открой,codex
codex открой,codex
codex открой,codex
codex открой,codex
codex открой,codex
codex открой,codex
codex открой,codex
codex открой мне надо,codex
codex открой мне надо,codex
codex открой щас,codex
codex открой щас,codex
codex открой щас,codex
codex отркой бсытро,codex
codex щас,codex
codix включи,codex
codix запусти,codex
codx открой,codex
com squirrel discord включи,discord
com squirrel discord включи,discord
com squirrel discord включи если можешь,discord
com squirrel discord включи мне надо,discord
com squirrel discord включи мне надо,discord
com squirrel discord включи на компе,discord
com squirrel discord запусти,discord
com squirrel discord запусти,discord
com squirrel discord запусти бррух,discord
com squirrel discord запусти бсытро,discord
com squirrel discord запусти если можешь,discord
com squirrel discord запусти если можешь,discord
com squirrel discord запусти если можишь,discord
com squirrel discord мне надо,discord
com squirrel discord открой,discord
com squirrel discord открой,discord
com squirrel discord открой,discord
com squirrel discord открой,discord
com squirrel discord открой,discord
com squirrel discord открой,discord
com squirrel discord открой если можешь,discord
com squirrel discord открой мне надо,discord
com squirrel discord открой мне надо,discord
com squirrel discord открой на компе,discord
com squirrel discord открой щас,discord
dev,beavis_dev
dev,beavis_dev
dev включи,beavis_dev
dev включи,beavis_dev
dev включи,beavis_dev
dev включи,beavis_dev
dev включи,beavis_dev
dev включи на компе,beavis_dev
dev включи на компе,beavis_dev
dev если можешь,beavis_dev
dev запусти,beavis_dev
dev запусти,beavis_dev
dev запусти,beavis_dev
dev запусти,beavis_dev
dev запусти щас,beavis_dev
dev запусти щас,beavis_dev
dev мне надо,beavis_dev
dev на компе,beavis_dev
dev открой,beavis_dev
dev открой,beavis_dev
dev открой,beavis_dev
dev открой,beavis_dev
dev открой,beavis_dev
dev открой,beavis_dev
dev открой если можешь,beavis_dev
dev открой мне надо,beavis_dev
dev открой мне надо,beavis_dev
dev открой мне надо,beavis_dev
dev открой на компе,beavis_dev
dev открой на компе,beavis_dev
dicsord вкюлчи,discord
diiscord запусти щас,discord
discard,discord
discord,discord
discord,discord
discord,discord
discord,discord
discord,discord
discord включи,discord
discord включи,discord
discord включи мне надо,discord
discord включи на компе,discord
discord если можешь,discord
discord если можешь,discord
discord запусти,discord
discord запусти,discord
discord запусти если можешь,discord
discord запусти на компе,discord
discord открой,discord
discord открой,discord
discord открой,discord
discord открой,discord
discord открой,discord
discord открой,discord
discord открой,discord
discord открой,discord
discord открой,discord
discord открой если можешь,discord
discord открой мне надо,discord
discord открой на компе,discord
discord открой щас,discord
discord щас,discord
google chrome,google_chrome
google chrome,google_chrome
google chrome,google_chrome
google chrome,google_chrome
google chrome,google_chrome
google chrome,google_chrome
google chrome включи,google_chrome
google chrome включи,google_chrome
google chrome включи,google_chrome
google chrome включи,google_chrome
google chrome включи,google_chrome
google chrome запусди,google_chrome
google chrome запусти,google_chrome
google chrome запусти,google_chrome
google chrome запусти,google_chrome
google chrome запусти,google_chrome
google chrome запусти,google_chrome
google chrome запусти,google_chrome
google chrome запусти если можешь,google_chrome
google chrome мне надо,google_chrome
google chrome на компе,google_chrome
google chrome открой,google_chrome
google chrome открой,google_chrome
google chrome открой,google_chrome
google chrome открой,google_chrome
google chrome открой,google_chrome
google chrome открой,google_chrome
google chrome открой мне надо,google_chrome
google chrome открой на компе,google_chrome
google chrome открой щас,google_chrome
google chrome отткрой,google_chrome
microsoft,bloknot
microsoft,bloknot
microsoft,bloknot
microsoft,bloknot
microsoft,bloknot
microsoft,bloknot
microsoft,bloknot
microsoft включи,bloknot
microsoft включи,bloknot
microsoft включи,bloknot
microsoft включи,bloknot
microsoft включи,bloknot
microsoft включи мне надо,bloknot
microsoft включи на компе,bloknot
microsoft включи на копе,visual_studio_code
microsoft включи щас,bloknot
microsoft если можешь,bloknot
microsoft если можешь,bloknot
microsoft запусти если можешь,bloknot
microsoft запусти если можешь,bloknot
microsoft запусти мне надо,bloknot
microsoft запусти мне надо,bloknot
microsoft мне надо,bloknot
microsoft на компе,bloknot
microsoft открой если можешь,visual_studio_code
microsoft открой мне надо,bloknot
microsoft открой на компе,bloknot
microsoft открой щас,visual_studio_code
mirosoft открой,visual_studio_code
muic открой,yandeks_muzyka
music,yandeks_muzyka
music включи,yandeks_muzyka
music включи,yandeks_muzyka
music включи мне надо,yandeks_muzyka
music запусти,yandeks_muzyka
music запусти,yandeks_muzyka
music запусти,yandeks_muzyka
music на компе,yandeks_muzyka
music открой,yandeks_muzyka
music открой,yandeks_muzyka
music открой,yandeks_muzyka
music открой,yandeks_muzyka
music открой,yandeks_muzyka
music открой мне надо,yandeks_muzyka
music открой на компе,yandeks_muzyka
opeenai запусти,codex
openai,codex
openai,codex
openai,codex
openai,codex
openai включи,codex
openai включи,codex
openai включи,codex
openai включи,codex
openai включи,codex
openai включи,codex
openai включи если можешь,codex
openai включи щас,codex
openai если можешь,codex
openai запусти,codex
openai запусти,codex
openai запусти,codex
openai запусти,codex
openai запусти если можешь,codex
openai запусти если можешь,codex
openai запусти мне надо,codex
openai запусти на компе,codex
openai на компе,codex
openai открой,codex
openai открой,codex
openai открой,codex
openai открой,codex
openai открой,codex
openai открой,codex
openai открой если можешь,codex
openai открой если можешь,codex
openai открой ессли можешь,codex
openai открой на компе,codex
openai открой щас,codex
openai сверни,unknown
openai сверни щас,unknown
openoi запуусти,codex
oppenai включи если можешь,codex
ru yanddex desktop запусти мне нао,yandeks_muzyka
ru yandex desktop вкллючи пожаллуйста,yandeks_muzyka
ru yandex desktop запусти,yandeks_muzyka
ru yandex desktop запусти,yandeks_muzyka
ru yandex desktop запусти,yandeks_muzyka
ru yandex desktop запусти,yandeks_muzyka
ru yandex desktop запусти если можешь,yandeks_muzyka
ru yandex desktop запусти мне ндо,yandeks_muzyka
ru yandex desktop открой,yandeks_muzyka
ru yandex desktop открой,yandeks_muzyka
ru yandex desktop открой,yandeks_muzyka
ru yandex disktop запусти,yandeks_muzyka
telegram,telegram
telegram,telegram
telegram включи,telegram
telegram включи,telegram
telegram включи,telegram
telegram включи если можешь,telegram
telegram включи мне надо,telegram
telegram включи на компе,telegram
telegram включи на компе,telegram
telegram если можеьш,telegram
telegram запусти,telegram
telegram запусти,telegram
telegram запусти,telegram
telegram запусти,telegram
telegram запусти,telegram
telegram запусти,telegram
telegram запусти,telegram
telegram запусти,telegram
telegram запусти мне надо,telegram
telegram запусти щас,telegram
telegram открой,telegram
telegram открой,telegram
telegram открой,telegram
telegram открой,telegram
telegram открой,telegram
telegram открой,telegram
telegram открой,telegram
telegram открой пожалуйсста,telegram
telegram откроой пожалуста,telegram
telegrram включи пожалуйта,telegram
vissual studio code открой щас,visual_studio_code
visual studeo code открой на компе,visual_studio_code
visual studio code,visual_studio_code
visual studio code,visual_studio_code
visual studio code,visual_studio_code
visual studio code включи,visual_studio_code
visual studio code включи,visual_studio_code
visual studio code включи,visual_studio_code
visual studio code запусти,visual_studio_code
visual studio code запусти,visual_studio_code
visual studio code запусти,visual_studio_code
visual studio code запусти,visual_studio_code
visual studio code запусти,visual_studio_code
visual studio code запусти,visual_studio_code
visual studio code запусти,visual_studio_code
visual studio code открой,visual_studio_code
visual studio code открой,visual_studio_code
visual studio code открой,visual_studio_code
visual studio code открой,visual_studio_code
visual studio code открой если можешь,visual_studio_code
visual studio code открой мне надо,visual_studio_code
visual studio code открой на компе,visual_studio_code
visual studio code сверни если можешь,unknown
visual studoi code открой,visual_studio_code
word,word
word,word
word,word
word,word
word,word
word,word
word включи,word
word включи,word
word включи,word
word включи,word
word включи,word
word включи мне надо,word
word если можешь,word
word запусти,word
word запусти,word
word запусти,word
word запусти,word
word запусти если можешь,word
word запусти мне надо,word
word запусти щас,word
word мне надо,word
word открой,word
word открой,word
word открой,word
word открой,word
word открой,word
word открой,word
word открой,word
word открой,word
word открой,word
word открой,word
word открой,word
word открой мне надо,word
word открой мне надо,word
word открой мне надо,word
word открой мне надо,word
word открой на компе,word
word открой щас,word
word открой щас,word
word щас,word
yadnexmusic открой на компе,yandeks_muzyka
yanddexmusic открой щас,yandeks_muzyka
yandeks muzkya,yandeks_muzyka
yandeks muzyka,yandeks_muzyka
yandeks muzyka включи,yandeks_muzyka
yandeks muzyka включи,yandeks_muzyka
yandeks muzyka запусти,yandeks_muzyka
yandeks muzyka запусти,yandeks_muzyka
yandeks muzyka запусти,yandeks_muzyka
yandeks muzyka на компе,yandeks_muzyka
yandeks muzyka открой,yandeks_muzyka
yandeks muzyka открой,yandeks_muzyka
yandeks muzyka открой,yandeks_muzyka
yandeks muzyka открой,yandeks_muzyka
yandeks muzyka открой,yandeks_muzyka
yandeks muzyka открой,yandeks_muzyka
yandeks muzyka открой,yandeks_muzyka
yandeks muzyka открой,yandeks_muzyka
yandeks muzyka открой,yandeks_muzyka
yandeks muzyka открой,yandeks_muzyka
yandeks muzyka щас,yandeks_muzyka
yandexmusic включи,yandeks_muzyka
yandexmusic включи,yandeks_muzyka
